coin,market_class,underlying,period,target_price,market_name,trades,traders,volume,avg_px
#2591,,,,0,,156,19,11150.17655,0.8262096794871795
#6881,,,,0,,240,11,11139.93557,0.27113487500000005
#8520,,,,0,,176,27,11139.07596,0.460315
#4061,,,,0,,103,21,11126.77267,0.8325354368932039
#8150,,,,0,,284,26,11100.30769,0.4879560563380282
#7550,,,,0,,187,25,11062.06771,0.6071127807486632
#8880,,,,0,,148,23,11056.23723989,0.45307650898648644
#8640,,,,0,,193,17,10968.0271066,0.31200302243523315
#4151,,,,0,,164,16,10943.67055,0.2661482317073171
#1120,priceBucket,BTC,1d,0,Recurring Fallback,376,6,10929.49992101,0.31582446545212767
#6421,,,,0,,192,21,10794.87252,0.6324023958333334
#8170,,,,0,,493,33,10714.16544,0.4996937931034483
#6721,,,,0,,74,13,10618.03647,0.8778255405405406
#8301,,,,0,,105,10,10577.52387,0.9431600952380952
#2630,,,,0,,130,26,10556.29321,0.7293494615384616
#2690,,,,0,,158,3,10549.9999279,0.3148734151265823
#9670,,,,0,,108,23,10544.63555331,0.8659916049074075
#6621,,,,0,,65,13,10534.82617,0.8201409230769231
#2610,,,,0,,369,32,10492.64086083,0.3001343447696477
#860,priceBucket,BTC,1d,0,Recurring Fallback,386,6,10464.24993324,0.3022452483419689
#5540,,,,0,,432,22,10463.25335,0.48240798611111113
#9000,,,,0,,199,43,10404.90247,0.5070805025125628
#3260,,,,0,,545,25,10357.38823738,0.11360108822018349
#7730,,,,0,,371,27,10334.65161,0.5845855256064689
#3111,,,,0,,93,18,10297.55334,0.6213353763440861
#1530,priceBucket,BTC,1d,0,Recurring Named Outcome,817,33,10285.24996997,0.1462034306609547
#5541,,,,0,,366,19,10280.6932,0.5092010655737705
#1370,priceBucket,BTC,1d,0,Recurring Fallback,389,5,10221.7499282,0.31212510462724935
#7220,,,,0,,390,14,10195.39974,0.5747584615384616
#2231,,,,0,Outcome 223,230,23,10183.26798,0.4729105652173913
#2640,,,,0,,180,51,10170.85379,0.7139327777777779
#6540,,,,0,,43,13,10121.09646,0.7002583720930232
#9901,,,,0,,11,4,10074.65345,0.8081818181818182
#7821,,,,0,,256,15,10005.93263,0.6829223046875
#7491,,,,0,,111,6,9954.26804,0.8543779279279279
#6661,,,,0,,257,16,9855.90524,0.4756569260700389
#4670,,,,0,,129,21,9813.05792,0.6060289147286821
#7191,,,,0,,88,10,9790.81312,0.536057159090909
#5510,,,,0,,96,25,9747.36077902,0.7829699998958333
#9541,,,,0,,142,18,9730.42982,0.5967256338028168
#7771,,,,0,,187,12,9723.89429,0.8068279679144386
#9841,,,,0,,45,4,9688.57876,0.9789486666666666
#8241,,,,0,,337,23,9671.18835,0.48682741839762617
#6460,,,,0,,79,20,9658.9152,0.6862650632911392
#9621,,,,0,,143,23,9618.40412,0.5318423076923077
#2670,,,,0,,125,18,9581.49561,0.55723528
#4200,,,,0,,384,37,9574.81519,0.38064666666666663
#4111,,,,0,,251,26,9570.23779,0.4418458167330677
#7560,,,,0,,181,27,9514.42582,0.6368118232044199
#2370,priceBucket,BTC,1d,0,Recurring Named Outcome,265,43,9504.49509449,0.4096187920754717
#4081,,,,0,,150,15,9476.44091,0.727923
#7480,,,,0,,145,23,9468.67808,0.8846084137931035
#5480,,,,0,,348,39,9446.42844,0.26891433908045975
#6591,,,,0,,392,24,9417.38833,0.10560288265306123
#3340,,,,0,,261,16,9367.43030101,0.28092423957854407
#8530,,,,0,,226,41,9345.48458634,0.5962830382743363
#7710,,,,0,,204,21,9312.79709,0.5255770098039215
#8041,,,,0,,71,9,9271.52784,0.8702288732394367
#4750,,,,0,,220,17,9255.22671,0.5527229090909092
#3250,,,,0,,160,3,9204.49993742,0.313541664125
#6580,,,,0,,253,13,9193.08105,0.6200096442687747
#2360,priceBucket,BTC,1d,0,Recurring Named Outcome,225,30,9098.42476218,0.5485186515555556
#4220,,,,0,,194,27,9081.65831662,0.37722309257731956
#1650,priceBucket,BTC,1d,0,Recurring Fallback,190,6,9052.91660577,0.31842104989473685
#5640,,,,0,,318,48,9006.258,0.21857522012578615
#8911,,,,0,,131,22,8987.62834,0.6127719847328243
#9300,,,,0,,79,19,8957.14204,0.6887518987341772
#6471,,,,0,,115,10,8917.5202,0.64835
#6660,,,,0,,234,17,8909.30051,0.5293558547008547
#7101,,,,0,,82,9,8854.37155,0.5835976829268292
#9151,,,,0,,97,12,8845.41675,0.7240790721649485
#2281,,,,0,Outcome 228,159,17,8813.59747,0.46032817610062887
#7141,,,,0,,269,16,8741.73596,0.40435133828996284
#4280,,,,0,,707,48,8692.01685,0.23717602545968883
#2601,,,,0,,192,21,8667.76666,0.3265330208333333
#9101,,,,0,,64,7,8665.54592,0.837665
#8401,,,,0,,224,30,8645.72349,0.3645784375
#7201,,,,0,,99,10,8582.26278,0.5585329292929293
#5550,,,,0,,223,18,8573.16083,0.4533387443946188
#310,priceBucket,BTC,1d,0,Recurring Fallback,174,5,8551.74993408,0.3156130241954023
#4031,,,,0,,89,9,8516.58404,0.2839011235955056
#4041,,,,0,,254,23,8444.50087,0.22420456692913387
#6430,,,,0,,138,19,8437.68531,0.31469753623188407
#7321,,,,0,,185,30,8384.24192,0.25630783783783784
#6870,,,,0,,82,16,8345.77066875,0.17448056890243904
#7961,,,,0,,189,12,8343.40555,0.7251302116402116
#1000,,,,0,Fallback,1432,10,8334.41661023,0.3112197368435754
#7981,,,,0,,278,13,8307.81998,0.407521654676259
#1550,priceBucket,BTC,1d,0,Recurring Fallback,361,7,8303.58327292,0.3240997200277008
#4700,,,,0,,202,14,8296.13969652,0.20970158391089108
#6481,,,,0,,40,7,8285.10674,0.9293075
#8661,,,,0,,261,10,8273.22041,0.3918467049808429
#8950,,,,0,,90,22,8267.45834,0.8714118888888889
#7450,,,,0,,263,28,8206.94614,0.34216490494296575
#8900,,,,0,,221,39,8197.20488,0.4871443438914027
#7431,,,,0,,172,20,8115.66175,0.37303813953488374
#7641,,,,0,,197,21,8105.93281,0.4301215228426396
#8961,,,,0,,101,9,8103.40953,0.7683611881188118
#9560,,,,0,,230,24,8072.62748,0.336756
#8980,,,,0,,160,27,8062.03373,0.598874125
#3001,,,,0,,126,36,8017.11332,0.7655918253968254
